n_estimators,min_leaf,max_depth,auc,sharpe,score
600,2,,0.5071353041918153,0.9350282213036035,0.6452489461298112
300,2,,0.507867026497937,0.8235991471315096,0.6290467906182823
300,8,,0.506508020715273,0.7774654343595608,0.6211754296546252
600,4,10.0,0.4997503779293754,0.7994624344866217,0.619744629723556
300,2,10.0,0.5012110544080042,0.7859635737085245,0.6187422741418815
600,4,6.0,0.49779680729209463,0.7728015361447254,0.614377995526175
300,4,10.0,0.49950505096879105,0.7604181315360746,0.6137162554085649
600,8,,0.502804384225581,0.7082877927421747,0.6082062378692329
600,2,10.0,0.5024524302998532,0.7076075182075827,0.6078578289410346
600,8,6.0,0.49698076876549313,0.6973813639657334,0.6024937427307051
300,8,6.0,0.49965836504864836,0.6734387032934621,0.6007766610280731
600,2,6.0,0.4925367259283246,0.6992047289408255,0.599656417490951
300,4,6.0,0.5026026705240089,0.6500305258486626,0.5993264482441056
300,4,,0.5018224843145426,0.6330750447143629,0.5962369957273342
600,4,,0.5058220228426091,0.5692576365862813,0.5894640614777686
300,8,10.0,0.4928100580131435,0.6214641587023562,0.5881866644145538
600,8,10.0,0.49729259440493223,0.5988985658630865,0.5879396009629155
300,2,6.0,0.49917431586036776,0.445950762018397,0.5663146354050169
